Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
T2D8ZNTH,conferencePaper,2018,"Bantupalli, Kshitij; Xie, Ying",American Sign Language Recognition using Deep Learning and Computer Vision,2018 IEEE International Conference on Big Data (Big Data),,,10.1109/BigData.2018.8622141,https://ieeexplore.ieee.org/document/8622141,"Speech impairment is a disability which affects an individuals ability to communicate using speech and hearing. People who are affected by this use other media of communication such as sign language. Although sign language is ubiquitous in recent times, there remains a challenge for non-sign language speakers to communicate with sign language speakers or signers. With recent advances in deep learning and computer vision there has been promising progress in the fields of motion and gesture recognition using deep learning and computer vision based techniques. The focus of this work is to create a visionbased application which offers sign language translation to text thus aiding communication between signers and non-signers. The proposed model takes video sequences and extracts temporal and spatial features from them. We then use Inception, a CNN (Convolutional Neural Network) for recognizing spatial features. We then use a RNN (Recurrent Neural Network) to train on temporal features. The dataset used is the American Sign Language Dataset.",2018-12,2023-11-29 19:39:49,2023-11-29 19:39:49,2023-11-29 19:39:49,4896-4899,,,,,,,,,,,,,,,,,,IEEE Xplore,,,,C:\Users\test\Zotero\storage\SHY89S3Q\8622141.html; C:\Users\test\Zotero\storage\DEKECKH3\Bantupalli and Xie - 2018 - American Sign Language Recognition using Deep Lear.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018 IEEE International Conference on Big Data (Big Data),,,,,,,,,,,,,,,
6MZJ8CPY,conferencePaper,2018,"Shi, Bowen; Del Rio, Aurora Martinez; Keane, Jonathan; Michaux, Jonathan; Brentari, Diane; Shakhnarovich, Greg; Livescu, Karen",American Sign Language Fingerspelling Recognition in the Wild,2018 IEEE Spoken Language Technology Workshop (SLT),,,10.1109/SLT.2018.8639639,https://ieeexplore.ieee.org/abstract/document/8639639,"We address the problem of American Sign Language fingerspelling recognition “in the wild”, using videos collected from websites. We introduce the largest data set available so far for the problem of fingerspelling recognition, and the first using naturally occurring video data. Using this data set, we present the first attempt to recognize fingerspelling sequences in this challenging setting. Unlike prior work, our video data is extremely challenging due to low frame rates and visual variability. To tackle the visual challenges, we train a special-purpose signing hand detector using a small subset of our data. Given the hand detector output, a sequence model decodes the hypothesized fingerspelled letter sequence. For the sequence model, we explore attention-based recurrent encoder-decoders and CTC-based approaches. As the first attempt at fingerspelling recognition in the wild, this work is intended to serve as a baseline for future work on sign language recognition in realistic conditions. We find that, as expected, letter error rates are much higher than in previous work on more controlled data, and we analyze the sources of error and effects of model variants.",2018-12,2023-11-29 19:41:37,2023-11-29 19:41:37,2023-11-29 19:41:37,145-152,,,,,,,,,,,,,,,,,,IEEE Xplore,,,,C:\Users\test\Zotero\storage\CE65XA5S\8639639.html; C:\Users\test\Zotero\storage\M9RBGXG2\Shi et al. - 2018 - American Sign Language Fingerspelling Recognition .pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018 IEEE Spoken Language Technology Workshop (SLT),,,,,,,,,,,,,,,
5FAGHSRQ,conferencePaper,2023,"Kabade, Amruta E; Desai, Padmashree; C, Sujatha; G, Shankar",American Sign Language Fingerspelling Recognition using Attention Model,2023 IEEE 8th International Conference for Convergence in Technology (I2CT),,,10.1109/I2CT57861.2023.10126277,https://ieeexplore.ieee.org/document/10126277,"Sign Language Recognition(SLR) is a complex gesture recognition problem because of the quick and highly coarticulated motion involved in gestures. This research work focuses on Fingerspelling recognition task, which constitutes 35% of the American Sign Language (ASL). Fingerspelling identifies the word letter by letter. Fingerspelling is used for signing the words which do not have designated ASL signs such as technical terms, content words and proper nouns. In our proposed work for ASL Fingerspelling recognition, we consider ChicagoFSWild dataset which consists of occlusions and images captured in varying illuminations, lighting conditions (in the wild environments). The optical flow is obtained from Lucas-Kanade algorithm, prior is generated, images are resized and cropped with face-roi technique to get the region of interest (ROI). The visual attention mechanism attends to the ROI iteratively. ResNet, pretrained on Imagenet is used for the extraction of spatial features. The Bi-LSTM network with Connectionist Temporal Classification (CTC) is used to predict the sign. It provides the accuracy of 57% on ChicagoFSWild dataset for Fingerspelling recognition task.",2023-04,2023-11-29 19:42:10,2023-11-29 19:42:10,2023-11-29 19:42:10,1-6,,,,,,,,,,,,,,,,,,IEEE Xplore,,,,C:\Users\test\Zotero\storage\E8II75TX\Kabade et al. - 2023 - American Sign Language Fingerspelling Recognition .pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023 IEEE 8th International Conference for Convergence in Technology (I2CT),,,,,,,,,,,,,,,
PM5QSNKJ,preprint,2022,"Shi, Bowen; Brentari, Diane; Shakhnarovich, Greg; Livescu, Karen",Searching for fingerspelled content in American Sign Language,,,,,http://arxiv.org/abs/2203.13291,"Natural language processing for sign language video - including tasks like recognition, translation, and search - is crucial for making artificial intelligence technologies accessible to deaf individuals, and is gaining research interest in recent years. In this paper, we address the problem of searching for fingerspelled key-words or key phrases in raw sign language videos. This is an important task since significant content in sign language is often conveyed via fingerspelling, and to our knowledge the task has not been studied before. We propose an end-to-end model for this task, FSS-Net, that jointly detects fingerspelling and matches it to a text sequence. Our experiments, done on a large public dataset of ASL fingerspelling in the wild, show the importance of fingerspelling detection as a component of a search and retrieval model. Our model significantly outperforms baseline methods adapted from prior work on related tasks",2022-03-24,2023-12-13 01:12:07,2023-12-13 01:12:07,2023-12-13 01:12:07,,,,,,,,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2203.13291 [cs],,C:\Users\test\Zotero\storage\D4BVWXQD\2203.html; C:\Users\test\Zotero\storage\7EF3XGGJ\Shi et al. - 2022 - Searching for fingerspelled content in American Si.pdf,,,Computer Science - Computation and Language; Computer Science - Computer Vision and Pattern Recognition,,,,,,,,,,,,,,,,,,,arXiv:2203.13291,,,,,,,,,,,,,,,,,,,,,,,,,,,
YR2GK3Y4,conferencePaper,2021,"Gajurel, Kamala; Zhong, Cuncong; Wang, Guanghui",A Fine-Grained Visual Attention Approach for Fingerspelling Recognition in the Wild,"2021 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",978-1-66544-207-7,,10.1109/SMC52423.2021.9658982,https://ieeexplore.ieee.org/document/9658982/,"Fingerspelling in sign language has been the means of communicating technical terms and proper nouns when they do not have dedicated sign language gestures. Automatic recognition of ﬁngerspelling can help resolve communication barriers when interacting with deaf people. The main challenges prevalent in ﬁngerspelling recognition are the ambiguity in the gestures and strong articulation of the hands. The automatic recognition model should address high inter-class visual similarity and high intra-class variation in the gestures. Most of the existing research in ﬁngerspelling recognition has focused on the dataset collected in a controlled environment. The recent collection of a large-scale annotated ﬁngerspelling dataset in the wild, from social media and online platforms, captures the challenges in a real-world scenario. In this work, we propose a ﬁne-grained visual attention mechanism using the Transformer model for the sequence-to-sequence prediction task in the wild dataset. The ﬁne-grained attention is achieved by utilizing the change in motion of the video frames (optical ﬂow) in sequential context-based attention along with a Transformer encoder model. The unsegmented continuous video dataset is jointly trained by balancing the Connectionist Temporal Classiﬁcation (CTC) loss and the maximum-entropy loss. The proposed approach can capture better ﬁne-grained attention in a single iteration. Experiment evaluations show that it outperforms the state-of-the-art approaches.",2021-10-17,2023-12-13 01:20:11,2023-12-13 01:20:11,2023-12-13 01:20:11,3266-3271,,,,,,,,,,,IEEE,"Melbourne, Australia",en,,,,,DOI.org (Crossref),,,,C:\Users\test\Zotero\storage\TSAAPSAB\Gajurel et al. - 2021 - A Fine-Grained Visual Attention Approach for Finge.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2021 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",,,,,,,,,,,,,,,
V5PSAD5X,journalArticle,2022,"Saeed, Zinah Raad; Zainol, Zurinahni Binti; Zaidan, B. B.; Alamoodi, A. H.",A Systematic Review on Systems-Based Sensory Gloves for Sign Language Pattern Recognition: An Update From 2017 to 2022,IEEE Access,,2169-3536,10.1109/ACCESS.2022.3219430,https://ieeexplore.ieee.org/document/9938436/,"Sign language is the predominant mode of communication for the Hearing impaired community. For the millions of people who suffer from hearing loss around the world, interaction with people who have the ability to hear and do not suffer from hearing impairment or loss is considered as complicated. In line with this issue, technology is perceived as a crucial factor in being an enabler of providing solutions to enhance the quality of life of the hearing impairment by increasing accessibility. This research aims to review and analyze articles related to sign language recognition based on the sensor- based glove system, in order to identify academic motivations, challenges, and recommendations related to this ﬁeld. The search for the relevant review materials and articles was performed on four major databases ranging from 2017 to 2022: Science Direct, Web of Science, IEEE Xplore, and Scopus. The articles were chosen based on our inclusion and exclusion criteria. The literature ﬁndings of this paper indicate the dataset size to be open issues and challenges for hand gesture recognition. Furthermore, the majority of research on sign language recognition based on data glove was performed on static, single hand, and isolated gestures. Moreover, recognition accuracy typically achieved results higher than 90%. However, most experiments were carried out with a limited number of gestures. Overall, it is hoped that this study will serve as a roadmap for future research and raise awareness among researchers in the ﬁeld of sign language recognition.",2022,2023-12-15 15:16:26,2023-12-15 15:16:26,2023-12-15 15:16:26,123358-123377,,,10,,IEEE Access,A Systematic Review on Systems-Based Sensory Gloves for Sign Language Pattern Recognition,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\test\Zotero\storage\4JVIXX4C\Saeed et al. - 2022 - A Systematic Review on Systems-Based Sensory Glove.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGYKQYEI,journalArticle,1998,"Starner, T.; Weaver, J.; Pentland, A.",Real-time American sign language recognition using desk and wearable computer based video,IEEE Transactions on Pattern Analysis and Machine Intelligence,,1939-3539,10.1109/34.735811,https://ieeexplore.ieee.org/document/735811,We present two real-time hidden Markov model-based systems for recognizing sentence-level continuous American sign language (ASL) using a single camera to track the user's unadorned hands. The first system observes the user from a desk mounted camera and achieves 92 percent word accuracy. The second system mounts the camera in a cap worn by the user and achieves 98 percent accuracy (97 percent with an unrestricted grammar). Both experiments use a 40-word lexicon.,1998-12,2023-12-15 15:39:44,2023-12-15 15:39:44,2023-12-15 15:39:44,1371-1375,,12,20,,,,,,,,,,,,,,,IEEE Xplore,,Conference Name: IEEE Transactions on Pattern Analysis and Machine Intelligence,,C:\Users\test\Zotero\storage\W6XC44TD\735811.html; C:\Users\test\Zotero\storage\9ITYQU23\Starner et al. - 1998 - Real-time American sign language recognition using.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J2YE4HRH,journalArticle,2008,"von Agris, Ulrich; Zieren, Jörg; Canzler, Ulrich; Bauer, Britta; Kraiss, Karl-Friedrich",Recent developments in visual sign language recognition,Universal Access in the Information Society,,1615-5297,10.1007/s10209-007-0104-x,https://doi.org/10.1007/s10209-007-0104-x,"Research in the field of sign language recognition has made significant advances in recent years. The present achievements provide the basis for future applications with the objective of supporting the integration of deaf people into the hearing society. Translation systems, for example, could facilitate communication between deaf and hearing people in public situations. Further applications, such as user interfaces and automatic indexing of signed videos, become feasible. The current state in sign language recognition is roughly 30 years behind speech recognition, which corresponds to the gradual transition from isolated to continuous recognition for small vocabulary tasks. Research efforts were mainly focused on robust feature extraction or statistical modeling of signs. However, current recognition systems are still designed for signer-dependent operation under laboratory conditions. This paper describes a comprehensive concept for robust visual sign language recognition, which represents the recent developments in this field. The proposed recognition system aims for signer-independent operation and utilizes a single video camera for data acquisition to ensure user-friendliness. Since sign languages make use of manual and facial means of expression, both channels are employed for recognition. For mobile operation in uncontrolled environments, sophisticated algorithms were developed that robustly extract manual and facial features. The extraction of manual features relies on a multiple hypotheses tracking approach to resolve ambiguities of hand positions. For facial feature extraction, an active appearance model is applied which allows identification of areas of interest such as the eyes and mouth region. In the next processing step, a numerical description of the facial expression, head pose, line of sight, and lip outline is computed. The system employs a resolution strategy for dealing with mutual overlapping of the signer’s hands and face. Classification is based on hidden Markov models which are able to compensate time and amplitude variances in the articulation of a sign. The classification stage is designed for recognition of isolated signs, as well as of continuous sign language. In the latter case, a stochastic language model can be utilized, which considers uni- and bigram probabilities of single and successive signs. For statistical modeling of reference models each sign is represented either as a whole or as a composition of smaller subunits—similar to phonemes in spoken languages. While recognition based on word models is limited to rather small vocabularies, subunit models open the door to large vocabularies. Achieving signer-independence constitutes a challenging problem, as the articulation of a sign is subject to high interpersonal variance. This problem cannot be solved by simple feature normalization and must be addressed at the classification level. Therefore, dedicated adaptation methods known from speech recognition were implemented and modified to consider the specifics of sign languages. For rapid adaptation to unknown signers the proposed recognition system employs a combined approach of maximum likelihood linear regression and maximum a posteriori estimation.",2008-02-01,2023-12-15 16:02:52,2023-12-15 16:02:52,2023-12-15 16:02:52,323-362,,4,6,,Univ Access Inf Soc,,,,,,,,en,,,,,Springer Link,,,,,,,Computer vision; Hidden Markov models; Human–computer interaction; Sign language recognition; Signer adaptation; Statistical pattern recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4W8YECB,conferencePaper,1999,"Vogler, C.; Metaxas, D.",Parallel hidden Markov models for American sign language recognition,Proceedings of the Seventh IEEE International Conference on Computer Vision,,,10.1109/ICCV.1999.791206,https://ieeexplore.ieee.org/document/791206,"The major challenge that faces American Sign Language (ASL) recognition now is to develop methods that will scale well with increasing vocabulary size. Unlike in spoken languages, phonemes can occur simultaneously in ASL. The number of possible combinations of phonemes after enforcing linguistic constraints is approximately 5.5/spl times/10/sup 8/. Gesture recognition, which is less constrained than ASL recognition, suffers from the same problem. Thus, it is not feasible to train conventional hidden Markov models (HMMs) for large-scab ASL applications. Factorial HMMs and coupled HMMs are two extensions to HMMs that explicitly attempt to model several processes occuring in parallel. Unfortunately, they still require consideration of the combinations at training time. In this paper we present a novel approach to ASL recognition that aspires to being a solution to the scalability problems. It is based on parallel HMMs (PaHMMs), which model the parallel processes independently. Thus, they can also be trained independently, and do not require consideration of the different combinations at training time. We develop the recognition algorithm for PaHMMs and show that it runs in time polynomial in the number of states, and in time linear in the number of parallel processes. We run several experiments with a 22 sign vocabulary and demonstrate that PaHMMs can improve the robustness of HMM-based recognition even on a small scale. Thus, PaHMMs are a very promising general recognition scheme with applications in both gesture and ASL recognition.",1999-09,2023-12-15 16:32:55,2023-12-15 16:32:55,2023-12-15 16:32:55,116-122 vol.1,,,1,,,,,,,,,,,,,,,IEEE Xplore,,,,C:\Users\test\Zotero\storage\K3R8CHBQ\791206.html; C:\Users\test\Zotero\storage\JBDWMENN\Vogler and Metaxas - 1999 - Parallel hidden Markov models for American sign la.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Proceedings of the Seventh IEEE International Conference on Computer Vision,,,,,,,,,,,,,,,
CPRDLJNC,journalArticle,2011,"Oz, Cemil; Leu, Ming C.",American Sign Language word recognition with a sensory glove using artificial neural networks,Engineering Applications of Artificial Intelligence,,0952-1976,10.1016/j.engappai.2011.06.015,https://www.sciencedirect.com/science/article/pii/S0952197611001230,"An American Sign Language (ASL) recognition system is being developed using artificial neural networks (ANNs) to translate ASL words into English. The system uses a sensory glove called the Cyberglove™ and a Flock of Birds® 3-D motion tracker to extract the gesture features. The data regarding finger joint angles obtained from strain gauges in the sensory glove define the hand shape, while the data from the tracker describe the trajectory of hand movements. The data from these devices are processed by a velocity network with noise reduction and feature extraction and by a word recognition network. Some global and local features are extracted for each ASL word. A neural network is used as a classifier of this feature vector. Our goal is to continuously recognize ASL signs using these devices in real time. We trained and tested the ANN model for 50 ASL words with a different number of samples for every word. The test results show that our feature vector extraction method and neural networks can be used successfully for isolated word recognition. This system is flexible and open for future extension.",2011-10-01,2023-12-15 16:52:23,2023-12-15 16:52:23,2023-12-15 16:52:23,1204-1213,,7,24,,Engineering Applications of Artificial Intelligence,,Infrastructures and Tools for Multiagent Systems,,,,,,,,,,,ScienceDirect,,,,C:\Users\test\Zotero\storage\35EI6IGW\S0952197611001230.html,,,American Sign Language (ASL); Artificial Neural Networks (ANNs); ASL recognition; Finger spelling recognition; Hand-shape recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EYIMKUSL,journalArticle,2007,"Munib, Qutaishat; Habeeb, Moussa; Takruri, Bayan; Al-Malik, Hiba Abed",American sign language (ASL) recognition based on Hough transform and neural networks,Expert Systems with Applications,,09574174,10.1016/j.eswa.2005.11.018,https://linkinghub.elsevier.com/retrieve/pii/S0957417405003040,"The work presented in this paper aims to develop a system for automatic translation of static gestures of alphabets and signs in American sign language. In doing so, we have used Hough transform and neural networks which is trained to recognize signs. Our system does not rely on using any gloves or visual markings to achieve the recognition task. Instead, it deals with images of bare hands, which allows the user to interact with the system in a natural way. An image is processed and converted to a feature vector that will be compared with the feature vectors of a training set of signs. The extracted features are not aﬀected by the rotation, scaling or translation of the gesture within the image, which makes the system more ﬂexible.",2007-01,2023-12-15 16:52:58,2023-12-15 16:52:58,2023-12-15 16:52:58,24-37,,1,32,,Expert Systems with Applications,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\test\Zotero\storage\HQR6UEYU\Munib et al. - 2007 - American sign language (ASL) recognition based on .pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGUY4347,journalArticle,1998,"Lecun, Y.; Bottou, L.; Bengio, Y.; Haffner, P.",Gradient-based learning applied to document recognition,Proceedings of the IEEE,,1558-2256,10.1109/5.726791,https://ieeexplore.ieee.org/document/726791,"Multilayer neural networks trained with the back-propagation algorithm constitute the best example of a successful gradient based learning technique. Given an appropriate network architecture, gradient-based learning algorithms can be used to synthesize a complex decision surface that can classify high-dimensional patterns, such as handwritten characters, with minimal preprocessing. This paper reviews various methods applied to handwritten character recognition and compares them on a standard handwritten digit recognition task. Convolutional neural networks, which are specifically designed to deal with the variability of 2D shapes, are shown to outperform all other techniques. Real-life document recognition systems are composed of multiple modules including field extraction, segmentation recognition, and language modeling. A new learning paradigm, called graph transformer networks (GTN), allows such multimodule systems to be trained globally using gradient-based methods so as to minimize an overall performance measure. Two systems for online handwriting recognition are described. Experiments demonstrate the advantage of global training, and the flexibility of graph transformer networks. A graph transformer network for reading a bank cheque is also described. It uses convolutional neural network character recognizers combined with global training techniques to provide record accuracy on business and personal cheques. It is deployed commercially and reads several million cheques per day.",1998-11,2023-12-15 19:59:47,2023-12-15 19:59:47,2023-12-15 19:59:47,2278-2324,,11,86,,,,,,,,,,,,,,,IEEE Xplore,,Conference Name: Proceedings of the IEEE,,C:\Users\test\Zotero\storage\P7VRXTPH\726791.html; C:\Users\test\Zotero\storage\UN65WJMB\Lecun et al. - 1998 - Gradient-based learning applied to document recogn.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2V3JX736,conferencePaper,2012,"Krizhevsky, Alex; Sutskever, Ilya; Hinton, Geoffrey E",ImageNet Classification with Deep Convolutional Neural Networks,Advances in Neural Information Processing Systems,,,,https://proceedings.neurips.cc/paper_files/paper/2012/hash/c399862d3b9d6b76c8436e924a68c45b-Abstract.html,"We trained a large, deep convolutional neural network to classify the 1.3 million high-resolution images in the LSVRC-2010 ImageNet training set into the 1000 different classes. On the test data, we achieved top-1 and top-5 error rates of 39.7\% and 18.9\% which is considerably better than the previous state-of-the-art results. The neural network, which has 60 million parameters and 500,000 neurons, consists of five convolutional layers, some of which are followed by max-pooling layers, and two globally connected layers with a final 1000-way softmax. To make training faster, we used non-saturating neurons and a very efficient GPU implementation of convolutional nets. To reduce overfitting in the globally connected layers we employed a new regularization method that proved to be very effective.",2012,2023-12-15 20:11:16,2023-12-16 21:12:18,2023-12-15 20:11:16,1097-1105,,,25,,,,,,,,"Curran Associates, Inc.",,,,,,,Neural Information Processing Systems,,,,C:\Users\test\Zotero\storage\FKTSXN22\Krizhevsky et al. - 2012 - ImageNet Classification with Deep Convolutional Ne.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QN63PNJQ,preprint,2016,"Bahdanau, Dzmitry; Cho, Kyunghyun; Bengio, Yoshua",Neural Machine Translation by Jointly Learning to Align and Translate,,,,10.48550/arXiv.1409.0473,http://arxiv.org/abs/1409.0473,"Neural machine translation is a recently proposed approach to machine translation. Unlike the traditional statistical machine translation, the neural machine translation aims at building a single neural network that can be jointly tuned to maximize the translation performance. The models proposed recently for neural machine translation often belong to a family of encoder-decoders and consists of an encoder that encodes a source sentence into a fixed-length vector from which a decoder generates a translation. In this paper, we conjecture that the use of a fixed-length vector is a bottleneck in improving the performance of this basic encoder-decoder architecture, and propose to extend this by allowing a model to automatically (soft-)search for parts of a source sentence that are relevant to predicting a target word, without having to form these parts as a hard segment explicitly. With this new approach, we achieve a translation performance comparable to the existing state-of-the-art phrase-based system on the task of English-to-French translation. Furthermore, qualitative analysis reveals that the (soft-)alignments found by the model agree well with our intuition.",2016-05-19,2023-12-15 21:19:46,2023-12-15 21:19:46,2023-12-15 21:19:46,,,,,,,,,,,,arXiv,,,,,,,arXiv.org,,"arXiv:1409.0473 [cs, stat]",,C:\Users\test\Zotero\storage\8AI9Y35A\Bahdanau et al. - 2016 - Neural Machine Translation by Jointly Learning to .pdf; C:\Users\test\Zotero\storage\IX7ZCCJJ\1409.html,,,Computer Science - Computation and Language; Computer Science - Machine Learning; Computer Science - Neural and Evolutionary Computing; Statistics - Machine Learning,,,,,,,,,,,,,,,,,,,arXiv:1409.0473,,,,,,,,,,,,,,,,,,,,,,,,,,,
829E4WPA,preprint,2023,"Vaswani, Ashish; Shazeer, Noam; Parmar, Niki; Uszkoreit, Jakob; Jones, Llion; Gomez, Aidan N.; Kaiser, Lukasz; Polosukhin, Illia",Attention Is All You Need,,,,10.48550/arXiv.1706.03762,http://arxiv.org/abs/1706.03762,"The dominant sequence transduction models are based on complex recurrent or convolutional neural networks in an encoder-decoder configuration. The best performing models also connect the encoder and decoder through an attention mechanism. We propose a new simple network architecture, the Transformer, based solely on attention mechanisms, dispensing with recurrence and convolutions entirely. Experiments on two machine translation tasks show these models to be superior in quality while being more parallelizable and requiring significantly less time to train. Our model achieves 28.4 BLEU on the WMT 2014 English-to-German translation task, improving over the existing best results, including ensembles by over 2 BLEU. On the WMT 2014 English-to-French translation task, our model establishes a new single-model state-of-the-art BLEU score of 41.8 after training for 3.5 days on eight GPUs, a small fraction of the training costs of the best models from the literature. We show that the Transformer generalizes well to other tasks by applying it successfully to English constituency parsing both with large and limited training data.",2023-08-01,2023-12-15 21:22:28,2023-12-15 21:22:28,2023-12-15 21:22:28,,,,,,,,,,,,arXiv,,,,,,,arXiv.org,,arXiv:1706.03762 [cs],,C:\Users\test\Zotero\storage\DY65ESM9\Vaswani et al. - 2023 - Attention Is All You Need.pdf; C:\Users\test\Zotero\storage\4VPZQG2G\1706.html,,,Computer Science - Computation and Language; Computer Science - Machine Learning,,,,,,,,,,,,,,,,,,,arXiv:1706.03762,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAJRXVNY,journalArticle,2020,"Sherstinsky, Alex",Fundamentals of Recurrent Neural Network (RNN) and Long Short-Term Memory (LSTM) Network,Physica D: Nonlinear Phenomena,,01672789,10.1016/j.physd.2019.132306,http://arxiv.org/abs/1808.03314,"Because of their effectiveness in broad practical applications, LSTM networks have received a wealth of coverage in scientific journals, technical blogs, and implementation guides. However, in most articles, the inference formulas for the LSTM network and its parent, RNN, are stated axiomatically, while the training formulas are omitted altogether. In addition, the technique of ""unrolling"" an RNN is routinely presented without justification throughout the literature. The goal of this paper is to explain the essential RNN and LSTM fundamentals in a single document. Drawing from concepts in signal processing, we formally derive the canonical RNN formulation from differential equations. We then propose and prove a precise statement, which yields the RNN unrolling technique. We also review the difficulties with training the standard RNN and address them by transforming the RNN into the ""Vanilla LSTM"" network through a series of logical arguments. We provide all equations pertaining to the LSTM system together with detailed descriptions of its constituent entities. Albeit unconventional, our choice of notation and the method for presenting the LSTM system emphasizes ease of understanding. As part of the analysis, we identify new opportunities to enrich the LSTM system and incorporate these extensions into the Vanilla LSTM network, producing the most general LSTM variant to date. The target reader has already been exposed to RNNs and LSTM networks through numerous available resources and is open to an alternative pedagogical approach. A Machine Learning practitioner seeking guidance for implementing our new augmented LSTM model in software for experimentation and research will find the insights and derivations in this tutorial valuable as well.",2020-03,2023-12-16 15:55:07,2023-12-16 15:55:07,2023-12-16 15:55:07,132306,,,404,,Physica D: Nonlinear Phenomena,,,,,,,,,,,,,arXiv.org,,"arXiv:1808.03314 [cs, stat]",,C:\Users\test\Zotero\storage\AMLAA4BQ\Sherstinsky - 2020 - Fundamentals of Recurrent Neural Network (RNN) and.pdf; C:\Users\test\Zotero\storage\DDEIX5SN\1808.html,,,Computer Science - Machine Learning; Statistics - Machine Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY56KXEW,conferencePaper,2006,"Graves, Alex; Fernández, Santiago; Gomez, Faustino; Schmidhuber, Jürgen",Connectionist temporal classification: labelling unsegmented sequence data with recurrent neural networks,Proceedings of the 23rd international conference on Machine learning,978-1-59593-383-6,,10.1145/1143844.1143891,https://dl.acm.org/doi/10.1145/1143844.1143891,"Many real-world sequence learning tasks require the prediction of sequences of labels from noisy, unsegmented input data. In speech recognition, for example, an acoustic signal is transcribed into words or sub-word units. Recurrent neural networks (RNNs) are powerful sequence learners that would seem well suited to such tasks. However, because they require pre-segmented training data, and post-processing to transform their outputs into label sequences, their applicability has so far been limited. This paper presents a novel method for training RNNs to label unsegmented sequences directly, thereby solving both problems. An experiment on the TIMIT speech corpus demonstrates its advantages over both a baseline HMM and a hybrid HMM-RNN.",2006-06-25,2023-12-16 21:14:00,2023-12-16 21:14:00,2023-12-16,369–376,,,,,,Connectionist temporal classification,ICML '06,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,ACM Digital Library,,,,C:\Users\test\Zotero\storage\FS9L227Z\Graves et al. - 2006 - Connectionist temporal classification labelling u.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
